統計年度,按照別,區域別,生母年齡,出生者性別,嬰兒出生數
113,按登記日期分,新北市樹林區,42歲,男,7
113,按登記日期分,新北市樹林區,43歲,男,7
113,按登記日期分,新北市樹林區,44歲,男,1
113,按登記日期分,新北市樹林區,45歲,男,0
113,按登記日期分,新北市樹林區,46歲,男,2
113,按登記日期分,新北市樹林區,47歲,男,0
113,按登記日期分,新北市樹林區,48歲,男,0
113,按登記日期分,新北市樹林區,49歲,男,0
113,按登記日期分,新北市樹林區,50歲以上,男,0
113,按登記日期分,新北市樹林區,未滿15歲,女,0
113,按登記日期分,新北市樹林區,15歲,女,0
113,按登記日期分,新北市樹林區,16歲,女,1
113,按登記日期分,新北市樹林區,17歲,女,1
113,按登記日期分,新北市樹林區,18歲,女,1
113,按登記日期分,新北市樹林區,19歲,女,3
113,按登記日期分,新北市樹林區,20歲,女,4
113,按登記日期分,新北市樹林區,21歲,女,6
113,按登記日期分,新北市樹林區,22歲,女,7
113,按登記日期分,新北市樹林區,23歲,女,16
113,按登記日期分,新北市樹林區,24歲,女,11
113,按登記日期分,新北市樹林區,25歲,女,10
113,按登記日期分,新北市樹林區,26歲,女,14
113,按登記日期分,新北市樹林區,27歲,女,15
113,按登記日期分,新北市樹林區,28歲,女,29
113,按登記日期分,新北市樹林區,29歲,女,18
113,按登記日期分,新北市樹林區,30歲,女,31
113,按登記日期分,新北市樹林區,31歲,女,34
113,按登記日期分,新北市樹林區,32歲,女,26
113,按登記日期分,新北市樹林區,33歲,女,28
113,按登記日期分,新北市樹林區,34歲,女,26
113,按登記日期分,新北市樹林區,35歲,女,20
113,按登記日期分,新北市樹林區,36歲,女,27
113,按登記日期分,新北市樹林區,37歲,女,22
113,按登記日期分,新北市樹林區,38歲,女,17
113,按登記日期分,新北市樹林區,39歲,女,14
113,按登記日期分,新北市樹林區,40歲,女,12
113,按登記日期分,新北市樹林區,41歲,女,14
113,按登記日期分,新北市樹林區,42歲,女,3
113,按登記日期分,新北市樹林區,43歲,女,6
113,按登記日期分,新北市樹林區,44歲,女,0
113,按登記日期分,新北市樹林區,45歲,女,0
113,按登記日期分,新北市樹林區,46歲,女,0
113,按登記日期分,新北市樹林區,47歲,女,0
113,按登記日期分,新北市樹林區,48歲,女,2
113,按登記日期分,新北市樹林區,49歲,女,0
113,按登記日期分,新北市樹林區,50歲以上,女,0
113,按登記日期分,新北市鶯歌區,未滿15歲,男,0
113,按登記日期分,新北市鶯歌區,15歲,男,0
113,按登記日期分,新北市鶯歌區,16歲,男,0
113,按登記日期分,新北市鶯歌區,17歲,男,3
113,按登記日期分,新北市鶯歌區,18歲,男,0
113,按登記日期分,新北市鶯歌區,19歲,男,0
113,按登記日期分,新北市鶯歌區,20歲,男,2
113,按登記日期分,新北市鶯歌區,21歲,男,1
113,按登記日期分,新北市鶯歌區,22歲,男,2
113,按登記日期分,新北市鶯歌區,23歲,男,8
113,按登記日期分,新北市鶯歌區,24歲,男,3
113,按登記日期分,新北市鶯歌區,25歲,男,11
113,按登記日期分,新北市鶯歌區,26歲,男,5
113,按登記日期分,新北市鶯歌區,27歲,男,14
113,按登記日期分,新北市鶯歌區,28歲,男,15
113,按登記日期分,新北市鶯歌區,29歲,男,13
113,按登記日期分,新北市鶯歌區,30歲,男,21
113,按登記日期分,新北市鶯歌區,31歲,男,13
113,按登記日期分,新北市鶯歌區,32歲,男,18
113,按登記日期分,新北市鶯歌區,33歲,男,19
113,按登記日期分,新北市鶯歌區,34歲,男,13
113,按登記日期分,新北市鶯歌區,35歲,男,9
113,按登記日期分,新北市鶯歌區,36歲,男,12
113,按登記日期分,新北市鶯歌區,37歲,男,9
113,按登記日期分,新北市鶯歌區,38歲,男,12
113,按登記日期分,新北市鶯歌區,39歲,男,4
113,按登記日期分,新北市鶯歌區,40歲,男,5
113,按登記日期分,新北市鶯歌區,41歲,男,3
113,按登記日期分,新北市鶯歌區,42歲,男,2
113,按登記日期分,新北市鶯歌區,43歲,男,1
113,按登記日期分,新北市鶯歌區,44歲,男,0
113,按登記日期分,新北市鶯歌區,45歲,男,0
113,按登記日期分,新北市鶯歌區,46歲,男,0
113,按登記日期分,新北市鶯歌區,47歲,男,0
113,按登記日期分,新北市鶯歌區,48歲,男,0
113,按登記日期分,新北市鶯歌區,49歲,男,0
113,按登記日期分,新北市鶯歌區,50歲以上,男,0
113,按登記日期分,新北市鶯歌區,未滿15歲,女,0
113,按登記日期分,新北市鶯歌區,15歲,女,0
